"","election_year","state","election_type","dem_votes","rep_votes","total_votes","margin","sig_third"
"126",1920,"NC","G",310504,229343,539847,15.0340744692478,FALSE
"127",1920,"ND","G",87775,130614,218389,-19.6159147209795,FALSE
"128",1920,"NH","G",65035,90173,156212,-16.0922336312191,FALSE
"129",1920,"NV","G",10402,11550,27427,-4.18565646990192,FALSE
"130",1920,"NY","G",901310,1434393,2719381,-19.6031008527308,FALSE
"131",1920,"OH","G",782650,1134953,1920250,-18.3467256867595,FALSE
"132",1920,"OK","G",218371,247721,489755,-5.99279231452461,FALSE
"133",1920,"OR","G",100124,116696,230007,-7.20499810875321,FALSE
"134",1920,"PA","G",484862,1068985,1783339,-32.7544566680816,FALSE
"135",1920,"SC","G",64388,0,64389,99.9984469396947,FALSE
"136",1920,"SD","G",36833,92267,184179,-30.0978938966983,FALSE
"137",1920,"UT","G",56280,82566,145858,-18.0216374830314,FALSE
"138",1920,"VT","G",19580,69671,89271,-56.1111671203414,FALSE
"139",1920,"WA","G",68488,217069,384866,-38.6059043926977,FALSE
"140",1920,"WI","G",89265,281576,677149,-28.4001010117419,TRUE
"141",1921,"NM","S",31353,36868,71798,-7.68127245884286,FALSE
"142",1922,"AZ","G",39722,21358,61080,30.0654878847413,FALSE
"143",1922,"CA","G",215748,564422,908095,-38.3962030404308,FALSE
"144",1922,"CT","G",147276,169524,323906,-6.86865942588282,FALSE
"145",1922,"DE","G",37304,36979,74891,0.433964027720287,FALSE
"146",1922,"FL","G",45707,0,51950,87.9826756496631,FALSE
"147",1922,"GA","S",75860,0,75860,100,FALSE
"148",1922,"IA","S",227833,389751,617590,-26.2177172557846,FALSE
"149",1922,"IN","G",558169,524558,1097362,3.06289082362976,FALSE
"150",1922,"MA","G",406776,414130,870157,-0.845134843482268,FALSE
"151",1922,"MD","G",239807,210084,458369,6.48451356876229,FALSE
"152",1922,"ME","G",74659,101026,175685,-15.0081111079489,FALSE
"153",1922,"MI","G",294932,281843,582970,2.24522702711975,FALSE
"154",1922,"MN","G",123624,241833,690829,-17.1111809145244,TRUE
"155",1922,"MO","G",601086,522887,1135143,6.8889117934921,FALSE
"156",1922,"MS","G",63636,1273,68271,91.3462524351482,FALSE
"157",1922,"MT","G",88205,69464,159214,11.7709497908475,FALSE
"158",1922,"ND","G",92474,101312,193786,-4.56070097943092,FALSE
"159",1922,"NE","G",148265,220350,387691,-18.5934158904901,FALSE
"160",1922,"NJ","G",451832,362699,823438,10.8244943760186,FALSE
"161",1922,"NM","G",60969,48721,110508,11.0833604806892,FALSE
"162",1922,"NV","G",18201,10770,28971,25.6497877187532,FALSE
"163",1922,"OH","G",744558,794149,1560221,-3.17845997458052,FALSE
"164",1922,"PA","G",423583,802146,1431444,-26.4462319168616,FALSE
"165",1922,"PA","S",468330,819507,1422785,-24.6823659231718,FALSE
"166",1922,"RI","G",82889,68930,158889,8.78537847176331,FALSE
"167",1922,"TN","G",151523,71199,222722,36.0646905110407,FALSE
"168",1922,"TX","G",261063,130731,391794,33.2654405121059,FALSE
"169",1922,"UT","G",58749,58188,120812,0.464357845247161,FALSE
"170",1922,"VA","G",115240,42699,160526,45.1895643073396,FALSE
"171",1922,"WA","G",130375,126556,294677,1.29599527618375,FALSE
"172",1922,"WI","G",0,379494,470818,-80.603120526403,FALSE
"173",1922,"WV","G",198853,185046,388794,3.5512379306265,FALSE
"174",1922,"WY","G",35734,26627,62361,14.6036785811645,FALSE
"175",1924,"AL","G",120017,39623,159640,50.3595590077675,FALSE
"176",1924,"CO","G",139660,159698,318169,-6.29791085869459,FALSE
"177",1924,"CO","S",138714,159353,317621,-6.49799603930471,FALSE
"178",1924,"DE","G",36085,52731,88816,-18.7421185372005,FALSE
"179",1924,"IA","G",446840,447594,894434,-0.0842991210083695,FALSE
"180",1924,"ID","G",25199,99846,125599,-59.4327980318315,FALSE
"181",1924,"IL","G",806702,1449180,2280847,-28.1683953373462,FALSE
"182",1924,"KS","G",154189,428494,611290,-44.8731371362201,FALSE
"183",1924,"KY","G",381605,406123,787728,-3.11249568378933,FALSE
"184",1924,"LA","G",94939,0,94939,100,FALSE
"185",1924,"MA","G",547600,566188,1126526,-1.65002849468188,FALSE
"186",1924,"ME","G",97428,148783,246211,-20.8581257539265,FALSE
"187",1924,"MI","G",284609,858934,1156726,-49.6509112789027,FALSE
"188",1924,"MN","G",53709,388594,836563,-40.0310556407587,TRUE
"189",1924,"MS","G",97257,0,97257,100,FALSE
"190",1924,"MT","G",89681,72005,169866,10.4058493165201,FALSE
"191",1924,"NC","G",295344,184493,479837,23.101803320711,FALSE
"192",1924,"NE","G",165370,271661,437031,-24.3211579956571,FALSE
"193",1924,"NH","G",63596,94432,158028,-19.5129976966107,FALSE
"194",1924,"NJ","G",331034,608020,983175,-28.1726040633661,FALSE
"195",1924,"NM","G",57355,54558,115041,2.43130709920811,FALSE
"196",1924,"OK","G",196527,341720,555004,-26.1607123552263,FALSE
"197",1924,"OR","G",65340,174672,264803,-41.2880518725241,FALSE
"198",1924,"RI","G",87620,120815,209626,-15.8353448522607,FALSE
"199",1924,"SC","G",49060,0,49060,100,FALSE
"200",1924,"SD","G",63548,90006,203967,-12.9717062073767,FALSE
"201",1924,"TN","G",147821,109863,257931,14.7163388658207,FALSE
"202",1924,"TX","G",584614,98940,683554,71.0512995315659,FALSE
"203",1924,"VA","G",149565,5403,204272,70.5735489934989,FALSE
"204",1924,"WV","G",271809,290004,569564,-3.19454881277609,FALSE
"205",1924,"WY","G",33536,41293,74829,-10.3663018348501,FALSE
"206",1925,"WI","S",0,237719,352135,-67.5079159981257,FALSE
"207",1926,"AL","G",91843,21722,113565,61.745256020781,FALSE
"208",1926,"AR","G",28064,5848,33912,65.5107336635999,FALSE
"209",1926,"AZ","G",44591,31845,76436,16.6753885603642,FALSE
"210",1926,"CA","G",391599,670128,1061854,-26.2304422265208,FALSE
"211",1926,"CO","G",138113,149585,297595,-3.85490347620088,FALSE
"212",1926,"CT","G",107753,191401,302327,-27.6680547883583,FALSE
"213",1926,"FL","G",51054,6133,65568,68.5105539287457,FALSE
"214",1926,"GA","G",21941,0,47447,46.2431765970451,TRUE
"215",1926,"IA","G",247869,323409,572186,-13.2020007480085,FALSE
"216",1926,"ID","G",31285,56847,125179,-20.4203580472763,FALSE
"217",1926,"IL","G",774943,842273,1797359,-3.74605184606971,FALSE
"218",1926,"IN","G",511454,522737,1044717,-1.0800053985912,FALSE
"219",1926,"IN","S",496540,519401,1026010,-2.22814592450366,FALSE
"220",1926,"KS","G",168446,308222,484878,-28.8270451536263,FALSE
"221",1926,"KY","G",286997,266657,553654,3.67377459568611,FALSE
"222",1926,"LA","G",54180,0,54193,99.9760116620228,FALSE
"223",1926,"MA","S",525303,469989,1009966,5.47681803149809,FALSE
"224",1926,"MD","G",289457,194822,490183,19.3060550855497,FALSE
"225",1926,"ME","S",31225,79498,110723,-43.5979877712851,FALSE
"226",1926,"MO","G",594805,561610,1166885,2.84475333901798,FALSE
"227",1926,"NC","G",218934,142891,361825,21.0165135079113,FALSE
"228",1926,"ND","G",13519,14021,155106,-0.323649633154101,TRUE
"229",1926,"NH","G",47935,79279,127214,-24.6387976166145,FALSE
"230",1926,"NV","G",13273,17430,31246,-13.3041029251744,FALSE
"231",1926,"NY","G",1321463,1205246,2832027,4.10366850316046,FALSE
"232",1926,"OH","G",623221,711359,1337426,-6.59012162168225,FALSE
"233",1926,"OK","G",195307,159287,356562,10.1020299414969,FALSE
"234",1926,"OR","G",81301,89007,223699,-3.44480753154909,FALSE
"235",1926,"PA","G",615550,822187,1504698,-13.7327889051491,FALSE
"236",1926,"SC","G",14560,0,14560,100,FALSE
"237",1926,"SD","G",59128,105756,177681,-26.2425357804155,FALSE
"238",1926,"UT","G",53809,88101,143225,-23.9427474253796,FALSE
"239",1926,"VT","G",20238,28009,71228,-10.9100353793452,FALSE
"240",1926,"WA","G",148792,164130,319872,-4.79504301720688,FALSE
"241",1926,"WI","G",66672,300759,546638,-42.8230382812757,FALSE
"242",1928,"AZ","G",47013,39651,86664,8.49487676543894,FALSE
"243",1928,"CA","G",282411,1148397,1549796,-55.8774187054296,FALSE
"244",1928,"CT","G",251429,296958,551401,-8.2569672525077,FALSE
