"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto"
"149","WI",2008,0,8,12,13,11,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"150","WY",2008,0,8,12,12,12,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"151","AL",2012,1,8,12,12,12,11,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"152","AK",2012,0,7,13,13,13,30,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
"153","AZ",2012,0,7,13,13,13,29,3,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
"154","AR",2012,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"155","CA",2012,0,7,13,13,13,15,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"156","CO",2012,0,8,12,12,12,29,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"157","CT",2012,1,6,14,14,14,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"158","DE",2012,1,7,13,13,13,20,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"159","FL",2012,0,8,12,12,12,29,2,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
"160","GA",2012,0,8,12,12,12,30,4,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1
"161","HI",2012,0,9,11,11,11,30,2,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"162","ID",2012,0,8,12,12,12,0,2,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"163","IL",2012,0,7,13,13,13,28,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"164","IN",2012,0,8,12,12,12,29,4,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
"165","IA",2012,0,6,14,14,14,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"166","KS",2012,0,8,12,12,12,21,4,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"167","KY",2012,1,8,12,12,12,29,1,0,1,1,1,1,1,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0
"168","LA",2012,1,6,14,14,14,30,2,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"169","ME",2012,0,8,12,14,10,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"170","MD",2012,0,7,13,13,13,21,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"171","MA",2012,1,6.375,13.625,14.25,13,20,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"172","MI",2012,1,7,13,13,13,30,2,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"173","MN",2012,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"174","MS",2012,1,8,12,12,12,30,2,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0
"175","MO",2012,1,7,13,13,13,28,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0
"176","MT",2012,0,9.5,10.5,13,8,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"177","NE",2012,0,8,12,12,12,12,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
