"","year","state_po","margin"
"60",2000,"DE",13.0614388344238
"61",2000,"FL",-0.00900536800427965
"62",2000,"GA",-11.7485699951378
"63",2000,"HI",18.3287992151129
"64",2000,"IA",0.306277355431028
"65",2000,"ID",-39.5323106366436
"66",2000,"IL",12.0116412363447
"67",2000,"IN",-15.6347786706873
"68",2000,"KS",-20.8032709827124
"69",2000,"KY",-15.1283007772782
"70",2000,"LA",-7.67573071991373
"71",2000,"MA",26.9932230270772
"72",2000,"MD",16.3035277294426
"73",2000,"ME",5.11416547896112
"74",2000,"MI",5.13358413855071
"75",2000,"MN",2.40322140825896
"76",2000,"MO",-3.33854261127204
"77",2000,"MS",-16.9214149493454
"78",2000,"MT",-25.0743334322824
"79",2000,"NC",-12.8120851186453
"80",2000,"ND",-27.6032415630551
"81",2000,"NE",-28.9923230213237
"82",2000,"NH",-1.26713068965578
"83",2000,"NJ",15.834365056008
"84",2000,"NM",0.0611421555115644
"85",2000,"NV",-3.54382648590641
"86",2000,"NY",24.4866430131828
"87",2000,"OH",-3.54604574480891
"88",2000,"OK",-21.8809475389089
"89",2000,"OR",0.441018286124059
"90",2000,"PA",4.17003838414066
"91",2000,"RI",29.0759009757719
"92",2000,"SC",-15.9588612488457
"93",2000,"SD",-22.7325472936013
"94",2000,"TN",-3.86425846301454
"95",2000,"TX",-21.3166413765324
"96",2000,"UT",-40.4854207697917
"97",2000,"VA",-8.03811864219311
"98",2000,"VT",9.93754841866344
"99",2000,"WA",5.57956736925175
"100",2000,"WI",0.219656146543129
"101",2000,"WV",-6.32255556035573
"102",2000,"WY",-40.9243610978543
"103",2004,"AK",-25.5484680004351
"104",2004,"AL",-25.6162874353236
"105",2004,"AR",-9.75832863324628
"106",2004,"AZ",-10.4726011572182
"107",2004,"CA",9.94786155743259
"108",2004,"CO",-4.67325310030381
"109",2004,"CT",10.3664310611622
"110",2004,"DC",79.8441028885784
"111",2004,"DE",7.59401903035795
"112",2004,"FL",-5.00640620462272
"113",2004,"GA",-16.5998107136097
"114",2004,"HI",8.74495644654125
"115",2004,"IA",-0.667525821085295
"116",2004,"ID",-38.1260277818629
"117",2004,"IL",10.3445333826793
"118",2004,"IN",-20.6817903713206
"119",2004,"KS",-25.3808863099829
