State,District,Office_type,R_name,D_name,Unopposed/independent,Incumbent,Incumbent_margin,Sabato
California,21,House,Michael Maher,Jim Costa,n/a,TRUE,,Safe D
California,22,House,"Chris Mathys /
David Valadao","Melissa Hurtado /
Rudy Salas",n/a,TRUE,,Tossup
California,23,House,Jay Obernolte,Derek Marshall,n/a,TRUE,,Safe R
California,24,House,Thomas Cole,"Salud Carbajal /
Helena Pasquarella",n/a,TRUE,,Safe D
California,25,House,"Miguel Chapa /
Ceci Truman /
Ian Weeks","Oscar Ortiz /
Raul Ruiz",Ryan Burkett,TRUE,,Safe D
California,26,House,"Bruce Boyer /
Michael Koslow","Chris Anstead /
Julia Brownley",n/a,TRUE,,Safe D
California,27,House,Mike Garcia,"Steve Hill /
George Whitesides",n/a,TRUE,,Tossup
California,28,House,April Verlato,Judy Chu,n/a,TRUE,,Safe D
California,29,House,Benito Bernal,"Angélica Dueñas /
Luz Rivas",n/a,FALSE,,Safe D
California,30,House,Alex Balekian,Laura Friedman,n/a,FALSE,,Safe D
California,31,House,"Pedro Casas /
Daniel Martinez","Bob Archuleta /
Gil Cisneros /
Greg Hafif /
Kurt Jose /
Mary Ann Lutz /
Susan Rubio","Erskine Levi /
Y. Marie Manvel",FALSE,,Safe D
California,32,House,"James Shuster /
Larry Thompson","Dave Abbitt /
Christopher Ahuja /
Brad Sherman /
Douglas Smith /
Trevor Witt",n/a,TRUE,,Safe D
California ,33,House,Tom Herman,Pete Aguilar,n/a,TRUE,,Safe D
California,34,House,Calvin Lee,"David Ferrell /
Jimmy Gomez /
David Kim",Aaron Reveles,TRUE,,Safe D
California,35,House,"Mike Cargile /
Vijal Suthar","Melissa May /
Norma Torres",n/a,TRUE,,Safe D
California,36,House,"Ariana Hakami /
Melissa Toomim",Ted Lieu,Claire Anderson,TRUE,,Safe D
California,37,House,n/a,"Adam Carmichael /
Sydney Kamlager-Dove","John Parker /
Juan Rey",TRUE,,Safe D
California,38,House,"Eric Ching /
Robert Ochoa /
John Sarega",Linda Sánchez,n/a,TRUE,,Safe D
California ,39,House,David Serpa,Mark Takano,n/a,TRUE,,Safe D
California,40,House,Young Kim,"Allyson Muñiz Damikolas /
Joe Kerr",n/a,TRUE,,Likely R
California,41,House,Ken Calvert,"Anna Nevenich /
Will Rollins",n/a,TRUE,,Lean R
California,42,House,John Briscoe,"Joaquin Beltran /
Robert Garcia /
Nicole López",n/a,TRUE,,Safe D
California,43,House,"David Knight /
Steve Williams","Gregory Cheadle /
Maxine Waters /
Chris Wiggins",n/a,TRUE,,Safe D
California,44,House,Roger Groh,Nanette Barragán,n/a,TRUE,,Safe D
California,45,House,Michelle Steel,"Cheyenne Hunt /
Kim Bernice Nguyen-Penaloza /
Aditya Pai /
Derek Tran",n/a,TRUE,,Lean R
California,46,House,David Pan,Lou Correa,n/a,TRUE,,Safe D
California,47,House,"Scott Baugh /
Long Pham /
Max Ukropina","Dave Min /
Boyd Roberts /
Joanna Weiss /
Shariq Zaidi","Terry Crandall /
Tom McGrath /
Bill Smith",FALSE,,Tossup
California,48,House,Darrell Issa,"Stephen Houlahan /
Matthew Rascon /
Whitney Shanahan /
Mike Simon",Lucinda Jahn,TRUE,,Safe R
California,49,House,"Sheryl Adams /
Matt Gunderson /
Kate Monroe /
Margarita Wilkinson",Mike Levin,n/a,TRUE,,Likely D
California,50,House,"Peter Bono /
Solomon Moss","Timothy Bilash /
Scott Peters",n/a,TRUE,,Safe D
California,51,House,Bill Wells,Sara Jacobs,"Stan Caplan /
Hilaire Shioura",TRUE,,Safe D
California,52,House,Justin Lee,Juan Vargas,n/a,TRUE,,Safe D
Colorado,01,House,Valdamar Archuleta,Diana DeGette,Dom Waters,TRUE,,Safe D
Colorado,02,House,Marshall Dawson,"Joe Neguse /
Bernard Coleman",n/a,TRUE,,Safe D
Colorado,03,House,"Russ Andrews /
Ron Hanks /
Jeffrey Hurd /
Curtis McCrackin /
David Karpas /
Stephen Varela /
Austin O'Connell","Adam Frisch /
Anna Stout","Mark Elworth Jr. /
Gary Swing /
James Wiley /
Adam Withrow",FALSE,,Lean R
Colorado,04,House,"Mariel Bailey /
Lauren Boebert /
Deborah Flora /
Richard Holtorf /
Trent Leisy /
Mike Lynch /
Chris Phelen /
Justin Schreiber /
Jerry Sonnenberg /
Peter Yu","Karen Breslin /
Trisha Calvarese /
Ike McCorkle /
John Padora /
Anil Saxena",Douglas Mangeris,FALSE,,Safe R
Colorado,05,House,"Jeff Crank /
Bob Gardner /
Joshua Griffin /
Dave Williams /
Cory Parella /
Rose Pugliese","Orlondo Avion /
John Edgar /
River Gassen /
Joseph O. Gaye /
Adam Gillard","Christopher Mitchell /
Katrina Nguyen /
Calil Yarbrough",FALSE,,Likely R
Colorado,06,House,"John Fabbricatore /
Khaleb Dammen",Jason Crow,n/a,TRUE,,Safe D
Colorado,07,House,"James Hemenway /
Tom Silva",Brittany Petersen,"Morgan Law /
Ron Tupa",TRUE,,Safe D
Colorado,08,House,"Joe Andujo /
Gabe Evans /
Scott James /
Janak Joshi",Yadira Caraveo,"Larry Johnson /
Matthew Payette",TRUE,,Lean D
Connecticut,01,House,Mark Hancock,John Larson,Nicholas Symochko,TRUE,,Safe D
Connecticut,02,House,Mike France,Joe Courtney,n/a,TRUE,,Safe D
Connecticut,03,House,n/a,Rosa DeLauro,Unopposed,TRUE,,Safe D
Connecticut,04,House,"Bob MacGuffie /
Michael Goldstein /
Daniel Miressi",Jim Himes,Jaden Skudlarek,TRUE,,Safe D
Connecticut,05,House,"Michelle Botelho /
George Logan",Jahana Hayes,n/a,TRUE,,Lean D
Delaware,at-large,House,Donyale Hall,"Colleen Davis /
Sarah McBride /
Eugene Young /
Alexander Geise /
Curtis Aiken III",n/a,FALSE,,Safe D
Florida,01,House,"Matt Gaetz /
Todd Jennings /
William McPhilliips",Gay Valimont,n/a,TRUE,,Safe R
Florida,02,House,"Neal Dunn /
Willie Jefferson Anderson",n/a,Unopposed,TRUE,,Safe R
Florida,03,House,Kat Cammack,Tom Wells,Anthony Stebbins,TRUE,,Safe R
Florida,04,House,Aaron Bean,n/a,Unopposed,TRUE,,Safe R
Florida,05,House,n/a,n/a,n/a,tbd,,Safe R
Florida,06,House,"Michael Waltz /
Stephanie Gaddis /
Mathias Lenssen",n/a,Unopposed,TRUE,,Safe R
Florida,07,House,"Derrick Brantley /
Cory Mills","Allek Pastrana /
Jennifer Adams /
Tatiana Fernandez",n/a,TRUE,,Safe R
Florida,08,House,"John Hearton /
Bill Posey /
Joseph Babits /
Brian Jones",Dan McDow,n/a,TRUE,,Safe R
Florida,09,House,"Angel Coba /
John Quiñones /
Jose Castillo /
Lateresa Jones /
Adianis Morales /
Angel Rivera",Darren Soto,n/a,TRUE,,Safe D
Florida,10,House,"Willie Montague /
Tuan Le /
Sam Williams","Maxwell Frost /
Wade Darius /
Vibert White",n/a,TRUE,,Safe D
Florida,11,House,"John McCloy /
Anthony Sabatini /
Daniel Webster",Barbie Hall,Ralph Groves,TRUE,,Safe R
Florida,12,House,"Gus Bilirakis /
James Judge /
Jack Martin",n/a,Unopposed,TRUE,,Safe R
Florida,13,House,Anna Paulina Luna,"Whitney Fox /
John Liccione /
Peter Owen /
Mark Weinkrantz",n/a,TRUE,,Likely R
Florida,14,House,"Renee Marsella /
John Peters /
Neelam Taneja Perry /
Robert Rochford /
Amaro Lionheart",Kathy Castor,n/a,TRUE,,Safe D
Florida,15,House,Laurel Lee,Kris Fitzgerald,Alexander Peterson,TRUE,,Safe R
Florida,16,House,"Eddie Speir /
Vern Buchanan",Jan Schneider,n/a,TRUE,,Safe R
Florida,17,House,Greg Steube,"Andrea Doria Kale /
Manny Lopez /
Matthew Montavon",n/a,TRUE,,Safe R
Florida,18,House,Scott Franklin,n/a,John Richardson,TRUE,,Safe R
Florida,19,House,Byron Donalds,Kari Lerner,n/a,TRUE,,Safe R
Florida,20,House,n/a,Sheila Cherfilus-McCormick,Unopposed,TRUE,,Safe D
Florida,21,House,"Brian Mast /
Ljubo Skrbic",n/a,Unopposed,TRUE,,Safe R
Florida,22,House,"Deborah Adeimy /
Dan Franzese /
Andrew Gutmann /
D.B. Fugate","Lois Frankel /
Dean Halper",n/a,TRUE,,Safe D
Florida,23,House,"Gary Barve /
Rafael Ortiz /
Joe Thelusca /
Robert Weinroth /
Steve Chess",Jared Moskowitz,n/a,TRUE,,Safe D
Florida,24,House,"Patricia Gonzalez /
Lavern Spicer /
Jesus G. Navarro",Frederica Wilson,n/a,TRUE,,Safe D
Florida,25,House,Carla Spalding,Debbie Wasserman Schultz,n/a,TRUE,,Safe D
Florida,26,House,"Mario Díaz-Balart /
Ian Medina",n/a,Unopposed,TRUE,,Safe R
Florida,27,House,"Royland Lara /
Maria Elvira Salazar /
Michael Arias",Lucia Báez-Geller,n/a,TRUE,,Likely R
Florida,28,House,Carlos Gimenez,"Phil Ehr /
Marcos Reyes",n/a,TRUE,,Safe R
Georgia,01,House,Buddy Carter,n/a,Nicholas Brookins,TRUE,,Safe R
Georgia,02,House,"Chuck Hand /
Michael Nixon /
Tracy Taylor /
Wayne Johnson",Sanford Bishop,"Uloma Ekpete /
David Gregors /
Colleen Massey",TRUE,,Safe D
Georgia,03,House,"Jim Bennett /
Michael Corbin /
Mike Crane /
Mike Dugan /
David Jenkins /
Philip Singleton",Maura Keller,n/a,FALSE,,Safe R
Georgia,04,House,n/a,Hank Johnson,Unopposed,TRUE,,Safe D
Georgia,05,House,n/a,Nikema Williams,Unopposed,TRUE,,Safe D
Georgia,06,House,Jeff Criswell,"Brian Hopkins /
Lucy McBath /
Jerica Richardson",n/a,TRUE,,Safe D
Georgia,07,House,"
Rich McCormick /
Eugene Yu","Shelly Abraham /
Chris Capparell /
Bob Christian /
Brandon Miller /",Charles King,TRUE,,Safe R
Georgia,08,House,Austin Scott,"Justin Laster /
Vinson Watkins",n/a,TRUE,,Safe R
Georgia,09,House,Andrew Clyde,n/a,Unopposed,TRUE,,Safe R
Georgia,10,House,Mike Collins,Lexy Doherty,n/a,TRUE,,Safe R
Georgia,11,House,Barry Loudermilk,Antonio Daza,n/a,TRUE,,Safe R
Georgia,12,House,Rick Allen,"Daniel Jackson /
Rashaad Jones /
Liz Johnson /
Dennis Myers",n/a,TRUE,,Safe R
Georgia,13,House,n/a,"David Scott /
Octavia Coleman",Uloma Ekpete,TRUE,,Safe D
Georgia,14,House,"Marjorie Taylor Greene /
Luke Farmer","Tambrei Cash /
Shawn Harris /
Clarence Blalock /
Deric Houston /
Joseph Leigh /
Mandi White",n/a,TRUE,,Safe R
Hawaii,01,House,n/a,Ed Case,Unopposed,TRUE,,Safe D
Hawaii,02,House,n/a,Jill Tokuda,Unopposed,TRUE,,Safe D
Idaho,01,House,Russ Fulcher,Kaylee Peterson,n/a,TRUE,,Safe R
Idaho,02,House,"Mike Simpson /
Scott Cleveland /
Sean Higgins","David Roth /
Richard Grayson",n/a,TRUE,,Safe R
Illinois,01,House,"Montelle Gaji /
Marcus Lewis",Jonathan Jackson,n/a,TRUE,,Safe D
Illinois,02,House,Ashley Ramos,Robin Kelly,n/a,TRUE,,Safe D
Illinois,03,House,John Booras,Delia Ramirez,n/a,TRUE,,Safe D
Illinois,04,House,n/a,"Chuy García /
Raymond Lopez",Unopposed,TRUE,,Safe D
Illinois,05,House,Tom Hanson,"Mike Quigley /
Jerico Matias Cruz",n/a,TRUE,,Safe D
Illinois,06,House,Niki Conforti,"Sean Casten /
Mahnoor Ahmad /
Charles Hughes",n/a,TRUE,,Safe D
Illinois,07,House,Chad Koppie,"Danny K. Davis /
Nikhil Bhatia /
Kina Collins /
Melissa Conyears-Ervin /
Kouri Marshall",n/a,TRUE,,Safe D
Illinois,08,House,Mark Rice,Raja Krishnamoorthi,Jorge Briseno,TRUE,,Safe D
Illinois,09,House,n/a,Jan Schakowsky,Unopposed,TRUE,,Safe D
Illinois,10,House,Jim Carris,Brad Schneider,"Austin Mink /
Joseph Severino",TRUE,,Safe D
Illinois,11,House,"Jerry Evans /
Susan Hathaway-Altman /
Kent Mercado","Bill Foster /
Qasim Rashid",n/a,TRUE,,Safe D
Illinois,12,House,"Mike Bost /
Darren Bailey","Preston Nelson /
Brian Roberts",n/a,TRUE,,Safe R
Illinois,13,House,"Thomas Clatterbuck /
Joshua Loyd",Nikki Budzinski,n/a,TRUE,,Safe D
Illinois,14,House,"Charlie Kim /
James Marter",Lauren Underwood,n/a,TRUE,,Safe D
Illinois,15,House,Mary Miller,n/a,Unopposed,TRUE,,Safe R
Illinois,16,House,Darin LaHood,n/a,Unopposed,TRUE,,Safe R
Illinois,17,House,"Scott Crowl /
Joseh G. McGraw",Eric Sorensen,n/a,TRUE,,Lean D
Indiana,01,House,"Mark Leyva /
Martin Lucas /
Randell Niemeyer /
David Ben Ruiz",Frank Mrvan,"Jason Brown /
Tiffany Ford /
Samuel Kravitz",TRUE,,Lean D
Indiana,02,House,Rudy Yakym,n/a,Cameron Beamon,TRUE,,Safe R
Indiana,03,House,"Grant Bucher /
Wendy Davis /
Michael Felker /
Jon Kenworthy /
Tim Smith /
Marlin A. Stutzman /
Eric Whalen /
Scott Wise /
Andy Zay","Kiley Adolph /
Jo Anderson /
Phil Goss",n/a,FALSE,,Safe R
Indiana,04,House,"Jim Baird /
Charles Bookwalter /
Craig Haggard /
Jerry Jones","Rimpi Girn /
Derrick Holder",n/a,TRUE,,Safe R
Indiana,05,House,"Victoria Spartz /
Jonathan Brown /
Raju Chinthala /
Max Engling /
Scott Goad /
Chuck Goodrich /
Mark Hurt /
Patrick Malayter /
Matthew Peiffer /
Lonnie Powell",Jeremy Lee Edom,n/a,TRUE,,Safe R
Indiana,06,House,"Erik Benson /
Siddharth Mahant /
Jeff Raatz /
Mike Speedy",Cynthia Wirth,n/a,FALSE,,Safe R
Indiana,07,House,Gabriel Whitley,André Carson,Rusty Johnson,TRUE,,Safe D
Indiana,08,House,"Mark Messmer /
Richard Moss","Erik Hurt /
Kellie Moore",n/a,FALSE,,Safe R
Indiana,09,House,"Erin Houchin /
Hugh Doty","Aaron Cole /
D. Liam Dorris /
Timothy Peck",n/a,TRUE,,Safe R
Iowa,01,House,"Mariannette Miller-Meeks /
David Pautsch",Christina Bohannan,n/a,TRUE,,Likely R
Iowa,02,House,"Ashley Hinson /
Stephen Kephart","Sarah Corkery /
Jacob Wieland",n/a,TRUE,,Safe R
Iowa,03,House,Zach Nunn,"Lanon Baccam /
Melissa Vine",n/a,TRUE,,Lean R
Iowa,04,House,"Randy Feenstra /
Kevin Virgil","Jay Brown /
Ryan Melton",n/a,TRUE,,Safe R
Kansas,01,House,Tracey Mann,Paul Buskirk,n/a,TRUE,,Safe R
Kansas,02,House,Jacob LaTurner,"Joseph Swain /
Eli Woody IV",n/a,TRUE,,Safe R
Kansas,03,House,"Karen Crnkovich /
Prasanth Reddy /
Jonathon Westbrook",Sharice Davids,n/a,TRUE,,Likely D
Kansas,04,House,Ron Estes,"Esau Freeman /
Michael Soetaert",n/a,TRUE,,Safe R
Kentucky,01,House,James Corner Jr.,Erin Marshall,n/a,TRUE,,Safe R
Kentucky,02,House,Brett Guthrie,"William Compton /
Hank Linderman",n/a,TRUE,,Safe R
Kentucky,03,House,"Mike Craven /
Denny Ormerod","Morgan McGarvey /
Jared Randall /
Geoff M. Young",n/a,TRUE,,Safe D
Kentucky,04,House,"Thomas Massie /
Eric Deters /
Michael McGinnis",n/a,Unopposed,TRUE,,Safe R
Kentucky,05,House,"Hal Rogers /
Dana Edwards /
David Kraftchak /
Brandon Monhollen",n/a,Unopposed,TRUE,,Safe R
Kentucky,06,House,Andy Barr,"Randy Cravens /
Todd Kelly /
Don B. Pratt /
Jonathan Richardson /
Shauna Rudd",n/a,TRUE,,Safe R
Louisiana,01,House,Steve Scalise,Mel Manuel,n/a,TRUE,,Safe R
Louisiana,02,House,n/a,Troy Carter,Unopposed,TRUE,,Safe D
Louisiana,03,House,"Clay Higgins /
Xan John",n/a,Unopposed,TRUE,,Safe R
Louisiana,04,House,Mike Johnson,n/a,Unopposed,TRUE,,Safe R
Louisiana,05,House,"Julia Letlow /
Dany Kitishian",n/a,Rivule Sykes,TRUE,,Safe R
Louisiana,06,House,Garret Graves,Cleo Fields,n/a,TRUE,,Safe D
Maine,01,House,"Andrew Piantidosi /
Ronald Russell",Chellie Pingree,Elias Bassile,TRUE,,Safe D
Maine,02,House,"Michael Soboleski /
Austin Theriault",Jared Golden,Kevin Ball,TRUE,,Tossup
Maryland,01,House,"Andrew Harris /
Christopher Bruneau","Blessing Oluwadare /
Isaac Toyos",Christen Johnson,TRUE,,Safe R
Maryland,02,House,Dave Wallace,"
Harry Bhandari /
Bryan Moore /
John Olszewski Jr.",n/a,FALSE,,Safe D
Maryland,03,House,"Bernard Flowers /
Jordan Mayo /
Rob Steinberger","John Sarbanes /
Mark S. Chang /
Michael Coburn /
Abigail Diehl /
Juan Dominguez /
Lindsay Donahue /
Harry Dunn /
Sarah Elfreth /
Terri L. Hill /
Aisha Khan /
Clarence Lam /
Kristin Lyman Nabors /
John Morse /
Don Quinn /
Mike Rogers",n/a,FALSE,,Safe D
Maryland,04,House,n/a,"Glenn Ivey /
Elijah Coker /
Celeste Iroha /
Gabriel Njinimbot",n/a,TRUE,,Safe D
Maryland,05,House,Michelle Talkington,"Steny Hoyer /
Quincy Bareebe /
Andrea Crooms /
Joey Thompson /
Mckayla Wilkes",n/a,TRUE,,Safe D
Maryland,06,House,"Heath Barnes /
Dan Cox /
Chris Hyser /
Neil Parrott /
Mariela Roca /
Tom Royals /
Brenda Thiam","George Gluck /
Geoffrey Grammer /
Ashwani Jain /
Lesley Lopez /
Tekesha Martinez /
April McClain-Delaney /
Stephen McDow /
Joel Rubin /
Laurie-Ann Sayles /
Joe Vogel /
Destiny West /
Altimont Wilks",n/a,FALSE,,Likely D
Maryland,07,House,n/a,"Kweisi Mfume /
Tashi Davis","Michael Scott /
Michael Sigmon",TRUE,,Safe D
Maryland,08,House,n/a,Jamie Raskin,Unopposed,TRUE,,Safe D
Massachusetts,01,House,Chase Walker,Richard Neal,"Anthony Celata /
Nadia Milleron",TRUE,,Safe D
Massachusetts,02,House,Jeffrey Sossa-Paquette,Jim McGovern,n/a,TRUE,,Safe D
Massachusetts,03,House,Syed Hasan,"Lori Trahan /
Miranda Tozier-Robbins",n/a,TRUE,,Safe D
Massachusetts,04,House,n/a,Jake Auchincloss,Unopposed,TRUE,,Safe D
Massachusetts,05,House,n/a,Katherine Clark,Unopposed,TRUE,,Safe D
Massachusetts,06,House,n/a,Seth Moulton,Unopposed,TRUE,,Safe D
Massachusetts,07,House,n/a,Ayanna Pressley,Unopposed,TRUE,,Safe D
Massachusetts,08,House,n/a,Stephen Lynch,Unopposed,TRUE,,Safe D
Massachusetts,09,House,n/a,Bill Keating,Unopposed,TRUE,,Safe D
MIchigan,01,House,"Jack Bergman /
Joshua Saul","Callie Barr /
Bob Lorinser",n/a,TRUE,,Safe R
Michigan,02,House,John Moolenaar,n/a,Unopposed,TRUE,,Safe R
Michigan,03,House,"J. Allen Fiorletta /
Paul Hudson /
Jason Ickes /
Michael Markey Jr.",Hillary Scholten,n/a,TRUE,,Likely D
Michigan,04,House,Bill Huizenga,"Joseph Alfonso /
Chris Glasser /
Jessica Swartz",n/a,TRUE,,Safe R
Michigan,05,House,"Tim Walberg /
Bryan Trouten",n/a,Unopposed,TRUE,,Safe R
Michigan,06,House,n/a,Debbie Dingell,Clyde Shabazz,TRUE,,Safe D
Michigan,07,House,Tom Barrett,Curtis Hertel,n/a,FALSE,,Tossup
Michigan,08,House,"Martin Blank /
Anthony Hudson /
Paul Junge","Daniel Moilanen /
Sheldon Neeley /
Pamela Pugh /
Kristen McDonald Rivet",n/a,FALSE,,Tossup
Michigan,09,House,"Lisa McClain /
Jeffrey Jowske",n/a,Unopposed,TRUE,,Safe R
Michigan,10,House,John James,"Emily Busch /
Brian Steven Jaye /
Anil Kumar /
Carl Marlinga /
Rhonda Powell /
Tiffany Tilley /
Diane Young",n/a,TRUE,,Lean R
Michigan,11,House,n/a,Haley Stevens,Unopposed,TRUE,,Safe D
Michigan,12,House,n/a,Rashida Tlaib,Unopposed,TRUE,,Safe D
Michigan,13,House,Martell Bivings,"Shri Thanedar /
Adam Hollier /
Mary Waters",n/a,TRUE,,Safe D
Minnesota,01,House,Brad Finstad,n/a,Unopposed,TRUE,,Safe R
Minnesota,02,House,"Mike Murphy /
Tayler Rahm /
Joe Teirab",Angie Craig,n/a,TRUE,,Lean D
Minnesota,03,House,"Blaize Harty /
Brad Kohler /
James Page /
Quentin Wittrock","Ron Harris /
Kelly Morrison",n/a,FALSE,,Safe D
Minnesota,04,House,Mike Casey,Betty McCollum,n/a,TRUE,,Safe D
Minnesota,05,House,Dalia al-Aqidi,"Ilhan Omar /
Sarah Gad /
Tim Peterson /
Don Samuels",Shujaa Tongrit-Green,TRUE,,Safe D
Minnesota,06,House,Tom Emmer,Austin Winkelman,n/a,TRUE,,Safe R
Minnesota,07,House,"Steve Boyd /
Michelle Fischbach /
Annette Watson",n/a,Unopposed,TRUE,,Safe R
Minnesota,08,House,Pete Stauber,Jennifer Schultz,n/a,TRUE,,Safe R
Mississippi,01,House,Trent Kelly,"Dianne Black /
Matthew Williams",n/a,TRUE,,Safe R
Mississippi,02,House,"Ronald Eller /
Andrew S. Smith /
Taylor Turcotte",Bennie Thompson,n/a,TRUE,,Safe D
Mississippi,03,House,Michael Guest,n/a,Unopposed,TRUE,,Safe R
Mississippi,04,House,"Mike Ezell /
Carl Boyanton /
Michael McGill /
Craig Raybon",n/a,Unopposed,TRUE,,Safe R
Missouri,01,House,Andrew Jones Jr.,"Cori Bush /
Wesley Bell /
Maria Chappelle-Nadal",n/a,TRUE,,Safe D
Missouri,02,House,"Ann Wagner /
Wesley Smith",John Kiehne,n/a,TRUE,,Safe R
Missouri,03,House,"Mary Coleman /
Bob Onder /
Brandon Wilkinson",n/a,Unopposed,FALSE,,Safe R
Missouri,04,House,Mark Alford,n/a,Alexander Heidenreich,TRUE,,Safe R
Missouri,05,House,Sean Smith,Emanuel Cleaver,John Bowman,TRUE,,Safe D
Missouri,06,House,Sam Graves,Erik Richardson,n/a,TRUE,,Safe R
Missouri,07,House,"Eric Burlison /
John Adair",Missi Hesketh,Natalie Faucett,TRUE,,Safe R
Missouri,08,House,"Jason Smith /
James Snider","Randi McCallian /
Franklin Delano Roth II",n/a,TRUE,,Safe R
Montana,01,House,"Ryan Zinke /
Cory Moran",Monica Tranel,n/a,TRUE,,Lean R
Montana,02,House,"Elsie Arntzen /
Kenneth Bogner /
Troy Downing /
Ric Holden /
Joel Krautter /
Edward Walker /
Stacy Zinn","Ming Cabrera /
Kevin Hamm",n/a,FALSE,,Safe R
Nebraska,01,House,"Mike Flood /
Ava Solomon",Carol Blood,n/a,TRUE,,Safe R
Nebraska,02,House,"Don Bacon /
Dan Frei",Tony Vargas,n/a,TRUE,,Tossup
Nebraska,03,House,Adrian Smith,n/a,Unopposed,TRUE,,Safe R
Nevada,01,House,"Michael Boris /
Flemming Larsen /
Ronald Quince /
Mark Robertson",Dina Titus,n/a,TRUE,,Likely D
