"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"3067","0500000US55037","Florence","Wisconsin",4558,"96.14%","94.60%","0.20%","0.66%","0.18%","0.18%","0.33%","3.86%","0.44%",58049,"91.4","22.5",71
"3068","0500000US55039","Fond du Lac","Wisconsin",104154,"95.05%","87.98%","2.32%","0.49%","1.21%","0.03%","3.03%","4.95%","5.77%",70368,"92.5","22.3",16
"3069","0500000US55041","Forest","Wisconsin",9179,"94.94%","80.70%","0.35%","13.38%","0.19%","0.12%","0.22%","5.06%","2.55%",55552,"90.3","15.7",68
"3070","0500000US55043","Grant","Wisconsin",51938,"97.21%","93.78%","1.32%","0.25%","0.80%","0.02%","1.05%","2.79%","1.98%",63497,"92.5","24.2",28
"3071","0500000US55045","Green","Wisconsin",37093,"95.74%","92.52%","0.57%","0.28%","0.47%","0.01%","1.89%","4.26%","3.43%",76080,"93.2","26.1",40
"3072","0500000US55047","Green Lake","Wisconsin",19018,"95.76%","92.04%","0.62%","0.36%","0.54%","0.06%","2.14%","4.24%","5.46%",66395,"91.1","22.4",55
"3073","0500000US55049","Iowa","Wisconsin",23709,"96.50%","94.17%","0.48%","0.16%","0.76%","0.05%","0.87%","3.50%","2.13%",79226,"95.5","27.8",48
"3074","0500000US55051","Iron","Wisconsin",6137,"97.25%","95.01%","0.26%","1.08%","0.21%","0.00%","0.68%","2.75%","1.56%",55777,"96.2","23.7",70
"3075","0500000US55053","Jackson","Wisconsin",21145,"95.92%","85.80%","2.09%","6.52%","0.36%","0.00%","1.15%","4.08%","3.69%",64630,"91.8","15.9",50
"3076","0500000US55055","Jefferson","Wisconsin",84900,"94.18%","88.51%","1.05%","0.43%","0.79%","0.03%","3.37%","5.82%","7.57%",77018,"92.7","27.9",20
"3077","0500000US55057","Juneau","Wisconsin",26718,"95.88%","90.95%","2.10%","1.43%","0.55%","0.00%","0.86%","4.12%","3.33%",63455,"89.4","16.1",46
