date,value
1997-11-03,1.176
1997-11-10,1.177
1997-11-17,1.168
1997-11-24,1.162
1997-12-01,1.152
1997-12-08,1.141
1997-12-15,1.131
1997-12-22,1.121
1997-12-29,1.112
1998-01-05,1.102
1998-01-12,1.094
1998-01-19,1.083
1998-01-26,1.066
1998-02-02,1.061
1998-02-09,1.053
1998-02-16,1.038
1998-02-23,1.044
1998-03-02,1.028
1998-03-09,1.018
1998-03-16,1.008
1998-03-23,1.000
1998-03-30,1.030
1998-04-06,1.028
1998-04-13,1.025
1998-04-20,1.028
1998-04-27,1.040
1998-05-04,1.049
1998-05-11,1.063
1998-05-18,1.072
1998-05-25,1.070
1998-06-01,1.066
1998-06-08,1.075
1998-06-15,1.066
1998-06-22,1.058
1998-06-29,1.057
1998-07-06,1.058
1998-07-13,1.054
1998-07-20,1.059
1998-07-27,1.050
1998-08-03,1.039
1998-08-10,1.033
1998-08-17,1.026
1998-08-24,1.019
1998-08-31,1.013
1998-09-07,1.007
1998-09-14,1.002
1998-09-21,1.014
1998-09-28,1.014
1998-10-05,1.019
1998-10-12,1.022
1998-10-19,1.019
1998-10-26,1.015
1998-11-02,1.010
1998-11-09,1.008
1998-11-16,0.996
1998-11-23,0.989
1998-11-30,0.974
1998-12-07,0.954
1998-12-14,0.945
1998-12-21,0.944
1998-12-28,0.937
1999-01-04,0.935
1999-01-11,0.941
1999-01-18,0.944
1999-01-25,0.936
1999-02-01,0.929
1999-02-08,0.927
1999-02-15,0.919
1999-02-22,0.907
1999-03-01,0.913
1999-03-08,0.921
1999-03-15,0.977
1999-03-22,1.017
1999-03-29,1.082
1999-04-05,1.118
1999-04-12,1.140
1999-04-19,1.135
1999-04-26,1.131
1999-05-03,1.136
1999-05-10,1.140
1999-05-17,1.140
1999-05-24,1.126
1999-05-31,1.111
1999-06-07,1.112
1999-06-14,1.108
1999-06-21,1.124
1999-06-28,1.113
1999-07-05,1.125
1999-07-12,1.143
1999-07-19,1.169
1999-07-26,1.193
1999-08-02,1.195
1999-08-09,1.206
1999-08-16,1.236
1999-08-23,1.234
1999-08-30,1.233
1999-09-06,1.242
1999-09-13,1.250
1999-09-20,1.268
1999-09-27,1.262
1999-10-04,1.255
1999-10-11,1.249
1999-10-18,1.236
1999-10-25,1.237
1999-11-01,1.230
1999-11-08,1.233
1999-11-15,1.251
1999-11-22,1.269
1999-11-29,1.274
1999-12-06,1.273
1999-12-13,1.275
1999-12-20,1.269
1999-12-27,1.273
2000-01-03,1.272
2000-01-10,1.264
2000-01-17,1.277
2000-01-24,1.315
2000-01-31,1.316
2000-02-07,1.325
2000-02-14,1.356
2000-02-21,1.406
2000-02-28,1.421
2000-03-06,1.501
2000-03-13,1.527
2000-03-20,1.529
2000-03-27,1.508
2000-04-03,1.503
2000-04-10,1.475
2000-04-17,1.444
2000-04-24,1.437
2000-05-01,1.420
2000-05-08,1.455
2000-05-15,1.492
2000-05-22,1.527
2000-05-29,1.540
2000-06-05,1.563
2000-06-12,1.631
2000-06-19,1.681
2000-06-26,1.658
2000-07-03,1.625
2000-07-10,1.593
2000-07-17,1.546
2000-07-24,1.520
2000-07-31,1.471
2000-08-07,1.462
2000-08-14,1.447
2000-08-21,1.468
2000-08-28,1.481
2000-09-04,1.530
2000-09-11,1.561
2000-09-18,1.562
2000-09-25,1.548
2000-10-02,1.524
2000-10-09,1.502
2000-10-16,1.539
2000-10-23,1.551
2000-10-30,1.545
2000-11-06,1.526
2000-11-13,1.523
2000-11-20,1.510
2000-11-27,1.510
2000-12-04,1.486
2000-12-11,1.449
2000-12-18,1.422
2000-12-25,1.414
2001-01-01,1.406
2001-01-08,1.425
2001-01-15,1.474
2001-01-22,1.471
2001-01-29,1.460
2001-02-05,1.443
2001-02-12,1.476
2001-02-19,1.449
2001-02-26,1.431
2001-03-05,1.417
2001-03-12,1.412
2001-03-19,1.404
2001-03-26,1.404
2001-04-02,1.442
2001-04-09,1.500
2001-04-16,1.571
2001-04-23,1.619
2001-04-30,1.626
2001-05-07,1.703
2001-05-14,1.713
2001-05-21,1.687
2001-05-28,1.704
2001-06-04,1.679
2001-06-11,1.647
2001-06-18,1.601
2001-06-25,1.538
2001-07-02,1.474
2001-07-09,1.437
2001-07-16,1.413
2001-07-23,1.395
2001-07-30,1.384
2001-08-06,1.376
2001-08-13,1.392
2001-08-20,1.427
2001-08-27,1.488
2001-09-03,1.545
2001-09-10,1.527
2001-09-17,1.529
2001-09-24,1.485
2001-10-01,1.416
2001-10-08,1.352
2001-10-15,1.309
2001-10-22,1.265
2001-10-29,1.235
2001-11-05,1.206
2001-11-12,1.182
2001-11-19,1.167
2001-11-26,1.127
2001-12-03,1.108
